,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
107,america should be taking more syrian refugees,"[america, take, syrian, refuge]",0.0,0.0,barack obama is a socialist,"[barack, obama, socialist]",0.0,0.0
108,america should be destroyed,"[america, destroy]",0.0,0.5,barack obama is irish,"[barack, obama, irish]",0.0,0.0
109,america should be christian,"[america, christian]",0.0,0.0,barack obama is cool,"[barack, obama, cool]",0.333333333333,0.0
110,america should be a land of,"[america, land]",0.0,0.0,barack obama is from kenya,"[barack, obama, kenya]",0.0,0.0
111,america should be socialist,"[america, socialist]",0.0,0.0,obama should be a comedian,"[obama, comedian]",0.0,0.0
112,america should be world police,"[america, world, polic]",0.0,0.0,obama should be tried,"[obama, tri]",0.0,0.0
113,america should be nuked,"[america, nuke]",0.0,0.0,obama should run for 3rd term,"[obama, run, 3rd, term]",0.0,0.0
114,america should be divided by race,"[america, divid, race]",0.0,0.0,obama should stay president,"[obama, stay, presid]",0.0,0.0
115,america should be a theocracy,"[america, theocraci]",0.0,0.0,obama should attend funeral,"[obama, attend, funer]",0.0,0.0
116,america should be told about ufos,"[america, told, ufo]",0.0,0.0,obama is doing nothing about ebola,"[obama, noth, ebola]",0.0,0.0
117,america should be the world's policeman,"[america, world', policeman]",0.0,0.0,obama is doing amway,"[obama, amway]",0.0,0.0
118,america should be split into 2 countries,"[america, split, 2, countri]",0.0,0.0,obama is doing the right thing,"[obama, right, thing]",0.0,0.0
119,america should be a nation of yeoman,"[america, nation, yeoman]",0.0,0.0,is obama doing this on purpose,"[obama, purpos]",0.0,0.0
120,america is not the greatest country anymore,"[america, greatest, countri, anymor]",0.0,0.0,is obama doing anything about ebola,"[obama, anyth, ebola]",0.0,0.0
121,america is great because america is good,"[america, great, america, good]",0.5,0.0,obama should be a comedian,"[obama, comedian]",0.0,0.0
122,america is a republic not a democracy,"[america, republ, democraci]",0.0,0.0,obama should be tried,"[obama, tri]",0.0,0.0
123,america is doomed,"[america, doom]",0.0,0.5,obama should be a stand up comedian,"[obama, stand, comedian]",0.0,0.0
124,america is babylon,"[america, babylon]",0.0,0.0,obama should be supreme court justice,"[obama, suprem, court, justic]",0.25,0.0
125,america is not the greatest country,"[america, greatest, countri]",0.0,0.0,obama should be president forever,"[obama, presid, forev]",0.0,0.0
126,america is an oligarchy,"[america, oligarchi]",0.0,0.0,obama should be impeached because,"[obama, impeach]",0.0,0.0
